Name,"Sub Category","Plan","AUM","CAGR 3Y","Expense Ratio"
SBI Liquid Fund,"Liquid Fund","Growth","58511.229900000006","4.258965806263615","0.18"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","50932.8078","14.249209619357227","0.84"
HDFC Liquid Fund,"Liquid Fund","Growth","46613.895","4.241645984843734","0.2"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","43950.491799999996","13.898564071815823","0.97"
ICICI Pru Liquid Fund,"Liquid Fund","Growth","39901.9855829547","4.326650867625514","0.2"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","39478.6736061642","12.08590521606352","1"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","36463.368500000004","12.785136393693964","0.64"
Axis Bluechip Fund,"Large Cap Fund","Growth","35702.2067","14.352589827662477","0.47"
Aditya Birla SL Liquid Fund,"Liquid Fund","Growth","34891.1481","4.3712914791181445","0.21"
SBI BlueChip Fund,"Large Cap Fund","Growth","31933.7834","14.57688298691937","0.94"
Mirae Asset Large Cap Fund,"Large Cap Fund","Growth","31929.3403853451","14.271372922544723","0.6"
HDFC Mid-Cap Opportunities Fund,"Mid Cap Fund","Growth","31837.0209","17.340746529282036","1"
Axis Long Term Equity Fund,"Equity Linked Savings Scheme (ELSS)","Growth","31655.932999999997","13.068221898265486","0.77"
ICICI Pru Bluechip Fund,"Large Cap Fund","Growth","31235.125319058097","14.861538431736943","1.08"
Axis Liquid Fund,"Liquid Fund","Growth","28933.728300000002","4.320198255844132","0.16"
Kotak Liquid Fund,"Liquid Fund","Growth","28834.222999999998","4.231914861598929","0.2"
UTI Liquid Cash Plan,"Liquid Fund","Growth","27778.6851","4.303703128639413","0.14"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","27770.411600000003","15.107470290481096","0.96"
Nippon India Liquid Fund,"Liquid Fund","Growth","25763.1281","4.355886521873753","0.18"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","24898.9569","17.825724938929135","0.93"
SBI Focused Equity Fund,"Focused Fund","Growth","24706.5616","16.850167816159644","0.67"
SBI Balanced Advantage Fund,"Balanced Advantage Fund","Growth","24019.6567","0","0.48"
Kotak Equity Arbitrage Fund,"Arbitrage Fund","Growth","23825.8865","5.066051605392796","0.41"
HDFC Corp Bond Fund,"Corporate Bond Fund","Growth","23609.8525","7.606293587992874","0.3"
ICICI Pru Value Discovery Fund,"Value Fund","Growth","23526.8224032313","20.583913159018373","1.21"
ICICI Pru Savings Fund,"Low Duration Fund","Growth","23329.6678413219","6.424920554371605","0.4"
SBI Savings Fund,"Money Market Fund","Growth","22869.3334","5.555690885524189","0.23"
Mirae Asset Emerging Bluechip,"Large & Mid Cap Fund","Growth","21910.2499437741","21.228404723502248","0.76"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","21906.958599999998","23.724060562208706","0.79"
Aditya Birla SL Frontline Equity Fund,"Large Cap Fund","Growth","21671.9338","13.67345006069125","1.07"
HDFC Top 100 Fund,"Large Cap Fund","Growth","21177.554300000003","11.34969520730591","1.19"
SBI Overnight Fund,"Overnight Fund","Growth","20493.6652","3.7446399368465944","0.1"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","19768.2765","27.2982538354289","0.28"
Axis Focused 25 Fund,"Focused Fund","Growth","19559.6084","14.084963653425287","0.6"
ICICI Pru Equity & Debt Fund,"Aggressive Hybrid Fund","Growth","19273.6633998514","19.142430644811782","1.26"
HDFC Floating Rate Debt Fund,"Floating Rate Fund","Growth","18660.7995","6.735394451825316","0.23"
Kotak Emerging Equity Fund,"Mid Cap Fund","Growth","18634.6521","23.741560269243813","0.47"
HDFC Hybrid Equity Fund,"Aggressive Hybrid Fund","Growth","18441.6421","13.483135455885463","1.12"
HDFC Low Duration Fund,"Low Duration Fund","Growth","17920.3612","6.5488461567619005","0.39"
IDFC Corp Bond Fund,"Corporate Bond Fund","Growth","17740.2778","6.922894755214015","0.28"
Axis Midcap Fund,"Mid Cap Fund","Growth","17678.9173","21.664314713585632","0.46"
IDFC Banking & PSU Debt Fund,"Banking & PSU Fund","Growth","17075.7568","7.846156340045596","0.32"
ICICI Pru Corp Bond Fund,"Corporate Bond Fund","Growth","16857.6642439551","7.512191232862264","0.27"
ICICI Pru Short Term Fund,"Short Duration Fund","Growth","16622.609390748097","7.906589805611297","0.37"
SBI Corp Bond Fund,"Corporate Bond Fund","Growth","16379.878400000001","7.3247676572727904","0.35"
Aditya Birla SL Floating Rate Fund,"Floating Rate Fund","Growth","16277.5079","6.529385881782046","0.22"
Aditya Birla SL Money Manager Fund,"Money Market Fund","Growth","16158.845","5.686939218388809","0.21"
ICICI Pru Floating Interest Fund,"Floating Rate Fund","Growth","16086.601364768001","7.194701169775142","0.59"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","15595.9047","14.331378908728754","0.93"
ICICI Pru Asset Allocator Fund,"FoFs (Domestic) - Debt Oriented","Growth","15552.163448015","13.984534783516956","0.07"
Axis Banking & PSU Debt Fund,"Banking & PSU Fund","Growth","15531.886299999998","7.2983780158033085","0.33"
Aditya Birla SL Corp Bond Fund,"Corporate Bond Fund","Growth","15461.211200000002","7.6108366600446065","0.3"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","15448.826399999998","15.215445022486595","0.85"
Kotak Money Market Fund,"Money Market Fund","Growth","15402.0247","5.268070198821073","0.25"
Kotak Bond Short Term Fund,"Short Duration Fund","Growth","15112.7612","7.358704736717736","0.34"
Aditya Birla SL Savings Fund,"Ultra Short Duration Fund","Growth","14667.6978","5.95938823122435","0.33"
HDFC Short Term Debt Fund,"Short Duration Fund","Growth","14549.4161","7.535038723815357","0.29"
Nippon India Floating Rate Fund,"Floating Rate Fund","Growth","14220.472943826002","7.449349922114168","0.26"
SBI Magnum Ultra Short Duration Fund,"Ultra Short Duration Fund","Growth","14143.608100000001","5.273231508130061","0.31"
ICICI Pru Equity-Arbitrage Fund,"Arbitrage Fund","Growth","14076.7487761625","4.918482573584559","0.41"
Aditya Birla SL Tax Relief '96,"Equity Linked Savings Scheme (ELSS)","Growth","13860.255","8.260818018929218","0.94"
Tata Liquid Fund,"Liquid Fund","Growth","13842.693722284299","4.344332240467796","0.22"
DSP Midcap Fund,"Mid Cap Fund","Growth","13796.998300000001","16.280879095883783","0.8"
Kotak Balanced Advantage Fund,"Balanced Advantage Fund","Growth","13572.6177","11.651854402305627","0.44"
Aditya Birla SL Low Duration Fund,"Low Duration Fund","Growth","13535.994299999998","6.696371247464383","0.38"
ICICI Pru Ultra Short Term Fund Fund,"Ultra Short Duration Fund","Growth","13266.2524025378","6.290882449686719","0.39"
SBI Short Term Debt Fund,"Short Duration Fund","Growth","13259.531799999999","7.012364241264635","0.33"
ICICI Pru Multi-Asset Fund,"Multi Asset Allocation Fund","Growth","13115.3518560612","18.667233389723094","1.18"
Canara Rob Emerg Equities Fund,"Large & Mid Cap Fund","Growth","12994.202","18.363809863205272","0.61"
HDFC Small Cap Fund,"Small Cap Fund","Growth","12955.5079","17.132321113167738","0.79"
Kotak Savings Fund,"Ultra Short Duration Fund","Growth","12596.474199999999","5.457644763088254","0.36"
HDFC Ultra Short Term Fund,"Ultra Short Duration Fund","Growth","12385.2461","5.5987887521765645","0.34"
Nippon India Growth Fund,"Mid Cap Fund","Growth","12178.256399999998","20.897647889879067","0.41"
Nippon India Multi Cap Fund,"Multi Cap Fund","Growth","12157.1994","14.271797944125808","0.81"
HDFC Money Market Fund,"Money Market Fund","Growth","12111.4686","5.7143045823535354","0.21"
HDFC Overnight Fund,"Overnight Fund","Growth","12085.2618","3.723325509320108","0.1"
IDFC Bond Fund - Short Term Plan,"Short Duration Fund","Growth","12074.8527","6.860173993962793","0.29"
Aditya Birla SL Overnight Fund,"Overnight Fund","Growth","12056.798700000001","3.7683032659628912","0.1"
Mirae Asset Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","11790.1662385088","20.498412613332164","0.59"
Nippon India Tax Saver (ELSS) Fund,"Equity Linked Savings Scheme (ELSS)","Growth","11679.096000000001","10.95922683424455","1.04"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","11677.449621722","0","0.13"
Kotak Corporate Bond Fund,"Corporate Bond Fund","Growth","11677.201000000001","6.911933619590127","0.29"
SBI Small Cap Fund,"Small Cap Fund","Growth","11576.5039","26.296500125101275","0.75"
SBI Magnum Low Duration Fund,"Low Duration Fund","Growth","11478.6852","5.915608233331948","0.4"
Nippon India Money Market Fund,"Money Market Fund","Growth","11265.127199999999","5.488147187350023","0.04"
Aditya Birla SL Banking & PSU Debt,"Banking & PSU Fund","Growth","11212.884199999999","7.6366558504767035","0.34"
Nippon India Large Cap Fund,"Large Cap Fund","Growth","11069.436699999998","12.331237978606048","0.23"
Nippon India Arbitrage Fund,"Arbitrage Fund","Growth","10898.226499999999","5.121418713272807","0.07"
ICICI Pru Banking & PSU Debt Fund,"Banking & PSU Fund","Growth","10799.398267664099","7.532811857777699","0.35"
SBI Long Term Equity Fund,"Equity Linked Savings Scheme (ELSS)","Growth","10575.293300000001","14.687774236968831","1.2"
UTI Money Market Fund,"Money Market Fund","Growth","10560.6498","5.432265023833338","0.19"
ICICI Pru Money Market Fund,"Money Market Fund","Growth","10520.169254562301","5.458629414668303","0.21"
Axis Flexi Cap Fund,"Flexi Cap Fund","Growth","10503.7976","15.434810034955104","0.57"
Nippon India Overnight Fund,"Overnight Fund","Growth","10363.481600000001","3.7942511498905818","0.02"
ICICI Pru Overnight Fund,"Overnight Fund","Growth","10231.187550514","3.7473925870832314","0.1"
Franklin India Flexi Cap Fund,"Flexi Cap Fund","Growth","10113.581622486001","16.051173187757527","1.15"
Axis Short Term Fund,"Short Duration Fund","Growth","10085.9915","7.51263489857894","0.29"
Tata Money Market Fund,"Money Market Fund","Growth","9969.4378776843","5.637944315653409","0.25"
SBI Magnum Medium Duration Fund,"Medium Duration Fund","Growth","9967.9738","8.373910855443633","0.69"
DSP Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","9872.4069","18.285819736450847","0.8"
Tata Arbitrage Fund,"Arbitrage Fund","Growth","9857.08235847189","5.378515824217711","0.31"
ICICI Pru LT Equity Fund (Tax Saving),"Equity Linked Savings Scheme (ELSS)","Growth","9751.6537498752","14.300845900178771","1.07"
Motilal Oswal Flexi Cap Fund,"Flexi Cap Fund","Growth","9690.0263","7.231007315612947","1.02"
UTI Mastershare,"Large Cap Fund","Growth","9673.847","15.217830990515635","1.12"
Axis Overnight Fund,"Overnight Fund","Growth","9563.1999","3.778272274088268","0.06"
Kotak Equity Opp Fund,"Large & Mid Cap Fund","Growth","9454.8302","17.803492320656677","0.61"
HDFC TaxSaver,"Equity Linked Savings Scheme (ELSS)","Growth","9216.0179","12.286056859060924","1.18"
Kotak Overnight Fund,"Overnight Fund","Growth","9207.4699","3.7482178423265733","0.08"
DSP Liquidity Fund,"Liquid Fund","Growth","9202.2487","4.26335678995331","0.15"
IDFC Cash Fund,"Liquid Fund","Growth","9143.8007","4.1484704070623435","0.12"
Nippon India Low Duration Fund,"Low Duration Fund","Growth","9118.53","6.001517515208499","0.36"
Axis Small Cap Fund,"Small Cap Fund","Growth","9052.0473","29.064560041053245","0.35"
SBI Multicap Fund,"Multi Cap Fund","Growth","8986.6511","0","0"
Kotak Banking and PSU Debt Fund,"Banking & PSU Fund","Growth","8929.348399999999","7.71840029950337","0.37"
HDFC Credit Risk Debt Fund,"Credit Risk Fund","Growth","8925.4049","8.464626744784631","0.85"
DSP Small Cap Fund,"Small Cap Fund","Growth","8848.5656","25.77856250360917","0.97"
Invesco India Contra Fund,"Contra Fund","Growth","8725.804","16.29819148560483","0.57"
L&T Triple Ace Bond Fund,"Corporate Bond Fund","Growth","8680.808299999999","8.349138489202467","0.29"
Mirae Asset Focused Fund,"Focused Fund","Growth","8482.62028811328","0","0.57"
ICICI Pru Technology Fund,"Sectoral Fund - Technology","Growth","8477.7150005671","34.83818908702909","0.71"
Kotak Low Duration Fund,"Low Duration Fund","Growth","8431.7529","6.4913639121812805","0.42"
Aditya Birla SL Arbitrage Fund,"Arbitrage Fund","Growth","8405.757099999999","4.993383960510367","0.34"
ICICI Pru Credit Risk Fund,"Credit Risk Fund","Growth","8333.4759823541","8.580097906259553","0.88"
Aditya Birla SL Equity Hybrid '95 Fund,"Aggressive Hybrid Fund","Growth","8204.3117","11.696442064251578","1.05"
L&T Emerging Businesses Fund,"Small Cap Fund","Growth","8014.472299999999","21.57129401163298","0.79"
Edelweiss Balanced Advantage Fund,"Dynamic Asset Allocation Fund","Growth","7842.7009","15.287693701562066","0.43"
L&T India Value Fund,"Value Fund","Growth","7690.2024","16.274210398683266","0.88"
Canara Rob Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","7663.1088","15.01511217603191","0.53"
DSP Flexi Cap Fund,"Flexi Cap Fund","Growth","7661.3653","16.039956824832878","0.81"
Aditya Birla SL Short Term Fund,"Short Duration Fund","Growth","7639.906899999999","7.847677795727104","0.4"
SBI Arbitrage Opportunities Fund,"Arbitrage Fund","Growth","7589.2666","4.683475512560609","0.36"
Franklin India Focused Equity Fund,"Focused Fund","Growth","7583.087609419999","15.693425922892912","1.12"
Mirae Asset Midcap Fund,"Mid Cap Fund","Growth","7475.22212109261","0","0.62"
DSP Equity & Bond Fund,"Aggressive Hybrid Fund","Growth","7466.0876","13.816892939865099","0.81"
Nippon India Short Term Fund,"Short Duration Fund","Growth","7460.64630000001","7.586379985453373","0.35"
Axis Growth Opp Fund,"Large & Mid Cap Fund","Growth","7444.8596","21.763157044215653","0.41"
Franklin India Prima Fund,"Mid Cap Fund","Growth","7308.801267328","13.458720750447384","1.04"
Canara Rob Flexi Cap Fund,"Flexi Cap Fund","Growth","7256.260899999999","17.415847723803314","0.54"
Kotak Small Cap Fund,"Small Cap Fund","Growth","7235.8167","32.06312441668728","0.49"
Axis Ultra Short Term Fund,"Ultra Short Duration Fund","Growth","7204.661","5.666432333731208","0.3"
UTI Overnight Fund,"Overnight Fund","Growth","7165.8699","3.771318375897015","0.06"
Sundaram Mid Cap Fund,"Mid Cap Fund","Growth","7123.369668","13.664284579977304","0.91"
Kotak Floating Rate Fund,"Floating Rate Fund","Growth","7006.1826","0","0.22"
Franklin India Smaller Cos Fund,"Small Cap Fund","Growth","6950.835965444","16.97044805616268","1.05"
UTI Nifty Index Fund,"Index Fund","Growth","6881.5576","13.733717608270869","0.21"
SBI Magnum Midcap Fund,"Mid Cap Fund","Growth","6828.82","24.444738507198906","1.03"
ICICI Pru Medium Term Bond Fund,"Medium Duration Fund","Growth","6816.1598175904","8.3063872456413","0.67"
HDFC Banking and PSU Debt Fund,"Banking & PSU Fund","Growth","6793.490400000001","7.57075410742134","0.36"
Aditya Birla SL Balanced Advantage Fund,"Balanced Advantage Fund","Growth","6760.977800000001","11.709591941278852","0.46"
UTI Mid Cap Fund,"Mid Cap Fund","Growth","6723.365500000001","22.082954170956892","0.97"
HDFC Arbitrage-WP,"Arbitrage Fund","Growth","6722.4256000000005","4.64920076896802","0.4"
HDFC Arbitrage Fund,"Arbitrage Fund","Growth","6722.4256000000005","4.650390253944003","0.4"
Canara Rob Bluechip Equity Fund,"Large Cap Fund","Growth","6718.3081999999995","17.84955177214025","0.45"
Mirae Asset Hybrid Equity Fund,"Aggressive Hybrid Fund","Growth","6657.7654269634595","14.118544666430942","0.49"
Axis Arbitrage Fund,"Arbitrage Fund","Growth","6618.43710000001","5.128623218449069","0.31"
L&T Midcap Fund,"Mid Cap Fund","Growth","6607.519","14.575259261864115","0.76"
LIC MF Liquid Fund,"Liquid Fund","Growth","6602.5482999999995","4.350337803537108","0.11"
ICICI Pru Multicap Fund,"Multi Cap Fund","Growth","6566.8085585659","13.23814768897671","1.06"
DSP Equity Opportunities Fund,"Large & Mid Cap Fund","Growth","6513.7664","16.001078183079585","0.98"
UTI Value Opp Fund,"Value Fund","Growth","6461.950400000001","16.266824347185516","1.25"
SBI Large & Midcap Fund,"Large & Mid Cap Fund","Growth","6384.4585","17.759281898830757","1.17"
Franklin India Bluechip Fund,"Large Cap Fund","Growth","6257.0370342549995","12.747049021881395","1.18"
IDFC Low Duration Fund,"Low Duration Fund","Growth","6250.6249","5.709024364811355","0.3"
Edelweiss Arbitrage Fund,"Arbitrage Fund","Growth","6196.762900000001","5.257132790702945","0.34"
Axis Treasury Advantage Fund,"Low Duration Fund","Growth","6154.4176","6.201738223203934","0.27"
SBI Banking and PSU Fund,"Banking & PSU Fund","Growth","6114.312800000001","7.069130586705308","0.35"
ICICI Pru All Seasons Bond Fund,"Dynamic Bond Fund","Growth","5993.4505975622","8.383270080511252","0.62"
SBI Conservative Hybrid Fund,"Conservative Hybrid Fund","Growth","5976.035699999999","11.09807616482854","0.57"
Nippon India Balanced Advantage Fund,"Balanced Advantage Fund","Growth","5915.7725","10.763716451199024","0.08"
ICICI Pru Business Cycle Fund,"Thematic Fund","Growth","5909.2488506311","0","0.38"
Aditya Birla SL Equity Advantage Fund,"Large & Mid Cap Fund","Growth","5861.8549","14.018063655757107","1.16"
Nippon India Focused Equity Fund,"Focused Fund","Growth","5836.8008","16.71172432229642","0.61"
IDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","5810.8931","11.969272167353108","1.23"
HDFC Large and Mid Cap Fund,"Large & Mid Cap Fund","Growth","5797.1386999999995","16.973447864298553","1.22"
Aditya Birla SL Focused Equity Fund,"Focused Fund","Growth","5781.8663","14.235544577990943","1.18"
HDFC Index Fund-NIFTY 50 Plan,"Index Fund","Growth","5659.7386","13.598157234467045","0.2"
Tata Digital India Fund,"Thematic Fund","Growth","5583.704240964201","31.626600635057713","0.35"
Edelweiss NIFTY PSU Bond Plus SDL Index Fund-2026,"Corporate Bond Fund","Growth","5398.015899999999","0","0.16"
UTI Arbitrage Fund,"Arbitrage Fund","Growth","5380.4536","4.988548451032138","0.35"
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund,"Corporate Bond Fund","Growth","5238.9078","0","0.18"
HDFC Capital Builder Value Fund,"Value Fund","Growth","5215.5818","12.911552946748373","1.06"
Axis Multicap Fund,"Multi Cap Fund","Growth","5180.4187","0","0.29"
NJ Balanced Advantage Fund,"Balanced Advantage Fund","Growth","5122.1179999999995","0","0.52"
